"","id","huml","humw","ulnal","ulnaw","feml","femw","tibl","tibw","tarl","tarw","type","length.mean","diameter.mean"
"1",0,80.78,6.68,72.01,4.88,41.81,3.7,5.5,4.03,38.7,3.84,"SW",47.76,4.626
"2",1,88.91,6.63,80.53,5.59,47.04,4.3,80.22,4.51,41.5,4.01,"SW",67.64,5.008
"3",2,79.97,6.37,69.26,5.28,43.07,3.9,75.35,4.04,38.31,3.34,"SW",61.192,4.586
"4",3,77.65,5.7,65.76,4.77,40.04,3.52,69.17,3.4,35.78,3.41,"SW",57.68,4.16
"5",4,62.8,4.84,52.09,3.73,33.95,2.72,56.27,2.96,31.88,3.13,"SW",47.398,3.476
"6",5,61.92,4.78,50.46,3.47,49.52,4.41,56.95,2.73,29.07,2.83,"SW",49.584,3.644
"7",6,79.73,5.94,67.39,4.5,42.07,3.41,71.26,3.56,37.22,3.64,"SW",59.534,4.21
"8",7,86.98,5.68,74.52,4.55,44.46,3.78,76.02,3.81,37.94,3.81,"SW",63.984,4.326
"9",8,118.2,7.82,116.64,6.13,59.33,5.45,110,5.58,61.62,4.37,"SW",93.158,5.87
"10",9,145,10.42,144,7.05,70.96,7.44,120,7.31,78.67,6.34,"SW",111.726,7.712
"11",10,165,11.45,156,8.68,80.25,7.85,143,8.25,86.61,6.63,"SW",126.172,8.572
"12",11,186,9.83,152,8.76,56.02,7.02,185,8.07,90.8,4.59,"SW",133.964,7.654
"13",12,172,8.44,142,8.43,52.18,6.68,180,9.62,82.58,5.5,"SW",125.752,7.734
"14",13,148.91,6.78,121.35,6.5,44.29,6.33,155,6.68,73.71,4.24,"SW",108.652,6.106
"15",14,149.19,6.98,121.48,6.21,43.33,5.39,155,6.61,75.65,3.36,"SW",108.93,5.71
"16",15,140.59,6.59,115.97,5.81,39.75,5.61,166,7.83,74.86,3.52,"SW",107.434,5.872
"17",16,135.23,6.22,108.78,5.83,37.99,5.13,157,7.18,72.44,3.53,"SW",102.288,5.578
"18",17,124.53,6.01,100.37,5.82,34.54,5.43,145,7.12,65.92,3.28,"SW",94.072,5.532
"19",18,127.03,6.18,102.53,5.64,36.52,4.89,150,6.78,67.27,3.06,"SW",96.67,5.31
"20",19,106.02,4.47,95.79,4.33,41.96,4.8,129.59,6.94,70.29,3.35,"SW",88.73,4.778
"21",20,113.84,4.8,100.71,4.39,43.95,5.08,133.27,7.41,70.91,2.69,"SW",92.536,4.874
"22",21,108.62,5.04,97.7,4.66,45.08,5.78,128,7.14,65.48,4.25,"SW",88.976,5.374
"23",22,110.33,5.86,97.1,4.6,43.82,5.73,126,7.86,64.17,3.84,"SW",88.284,5.578
"24",23,63.62,3.42,59,2.75,30.16,2.92,74.66,4.38,39.26,1.97,"SW",53.34,3.088
"25",24,70.73,3.69,65.19,2.93,32.52,3.54,80.42,4.36,43.7,2.28,"SW",58.512,3.36
"26",25,71.65,3.37,66.11,2.77,36.98,3.06,77.11,3.94,38.04,2.83,"SW",57.978,3.194
"27",26,47.51,7.23,32.49,8.26,50.29,5,75.2,4.95,22.51,10.73,"SW",45.6,7.234
"28",27,46.2,7.06,32.73,8.58,52.15,5.11,75.99,4.77,23.24,10.24,"SW",46.062,7.152
"29",28,41.13,6.71,31,7.73,49.51,4.69,71.94,4.54,22.46,9.45,"SW",43.208,6.624
"30",29,72.5,14.78,45.83,10.33,77.02,7.76,128.75,6.49,32.48,13.82,"SW",71.316,10.636
"31",30,75.05,12.55,44.05,8.62,75.31,6.76,112.6,7.22,34.31,14.09,"SW",68.264,9.848
"32",31,175,10.69,228,8.65,47.13,6.16,64.53,4.41,18.42,3.65,"SW",106.616,6.712
"33",32,188,11.35,250,9.64,52.49,7.6,69.06,5.13,19.52,6.51,"SW",115.814,8.046
"35",34,185,10.91,235,8.02,51,6.71,68.67,4.24,20.14,6.3,"SW",111.962,7.236
"36",35,179,11.16,222,8.57,47.51,6.39,65.18,4.51,19.67,6.64,"SW",106.672,7.454
"37",36,183,11.37,280,9.22,52.34,7.24,68.09,4.61,20.08,6.41,"SW",120.702,7.77
"38",37,185,12.47,242,9.8,52.39,7.5,68.01,4.66,19.44,7.21,"SW",113.368,8.328
"41",40,100.62,6.6,110,5.8,36.11,2.93,55.1,3.19,28.81,4.82,"SW",66.128,4.668
"42",41,100.05,6.36,107.8,5.83,36.79,3.19,54.97,3.38,27.78,5.07,"SW",65.478,4.766
"43",42,147,8.44,155,5.9,58.41,6.87,108.97,7.63,63.4,6.7,"SW",106.556,7.108
"44",43,156,8.38,167,6.02,59.3,6.89,112,7.73,66.32,6.91,"SW",112.124,7.186
"45",44,127.39,6.81,131,4.83,49.69,5.04,87.93,6.1,52.88,5.1,"SW",89.778,5.576
"46",45,108.84,6.98,116,4.51,48.81,5.31,87.72,7.11,47.46,4.93,"SW",81.766,5.768
"47",46,132,8.27,142,5.68,55.95,6.45,117.14,7.9,61.71,6.02,"SW",101.76,6.864
"48",47,177,9.21,193,7.48,58.5,7.02,90.71,6.69,55.77,8.79,"SW",114.996,7.838
"49",48,182,9.14,196,7.41,60.48,6.76,91,6.55,57.24,8.23,"SW",117.344,7.618
"50",49,150,8.05,167,6.66,52.98,5.9,78.22,5.62,46.05,7.97,"SW",98.85,6.84
"51",50,171,8.39,187,6.68,58.67,6.7,87.57,6.34,50.44,8.41,"SW",110.936,7.304
"52",51,161,8.22,181,6.72,49.83,5.36,69.04,5.18,37.31,7.44,"SW",99.636,6.584
"53",52,175,9.12,201,7.24,55.21,6.08,74.38,5.43,39.62,7.87,"SW",109.042,7.148
"54",53,22.63,2.48,27.24,2.03,21.04,2.02,37.69,1.82,21.91,1.72,"SW",26.102,2.014
"55",54,24.11,2.33,28.05,1.89,22.08,2.05,40.13,1.68,23.73,1.77,"SW",27.62,1.944
"56",55,28.98,2.74,36.37,2.29,28.41,2.49,50.89,2.19,32.07,2.03,"SW",35.344,2.348
"62",61,23.67,1.92,20.75,1.82,16.16,1.68,45.36,1.58,31.63,1.83,"SW",27.514,1.766
"63",62,30.11,2.54,28.72,2.34,20.66,2.17,57.89,2.38,34.75,2.52,"SW",34.426,2.39
"64",63,36.5,2.46,34.42,2.25,17.8,1.59,42.5,1.48,25.53,1.31,"SW",31.35,1.818
"65",64,83.45,4.43,81.59,4,38.16,3.24,79.1,3.1,44.31,2.82,"SW",65.322,3.518
"66",65,86.23,4.53,83.31,3.7,38.9,3.16,83.26,3.64,46.04,2.76,"SW",67.548,3.558
"67",66,34.38,1.88,35.11,1.71,14.35,1.17,37.47,1.29,25.45,1.13,"SW",29.352,1.436
"68",67,32.47,1.94,31.74,1.78,14.37,1.23,33.29,1.17,20.79,1.09,"SW",26.532,1.442
"69",68,38.34,2.37,36.96,2.01,15.12,1.3,35.46,1.27,22.96,1.2,"SW",29.768,1.63
"70",69,41.21,2.5,43.1,2.43,18.2,1.44,44.69,1.58,30.82,1.36,"SW",35.604,1.862
"71",70,26.63,1.63,27.19,1.72,12.21,1.02,31.56,1.07,21.62,0.83,"SW",23.842,1.254
"72",71,26.81,1.66,26.48,1.51,12.54,0.97,31.55,1.01,21.17,0.88,"SW",23.71,1.206
"73",72,45.26,3.29,36.73,3.1,25.21,2.1,49.09,2.38,27.53,2.03,"SW",36.764,2.58
"74",73,43.45,3.2,34.19,3.22,23.83,2.18,48.1,2.09,26.24,1.92,"SW",35.162,2.522
"75",74,99.45,4.92,93.55,4.07,41.05,3.42,86.62,3.61,46.44,2.99,"SW",73.422,3.802
"76",75,106.94,5.72,104.57,4.37,44.99,3.62,93.84,4.13,51.17,3.33,"SW",80.302,4.234
"77",76,109.25,5.97,104.78,4.8,48.42,4.05,94.23,4.36,52.01,3.48,"SW",81.738,4.532
"78",77,107.25,6.13,105.17,4.81,45.45,4.34,92.31,4.53,48.26,3.22,"SW",79.688,4.606
"79",78,53.12,3,52.74,2.8,22.79,1.95,52.24,2.14,30.91,1.73,"SW",42.36,2.324
"80",79,54.19,3.16,54.28,3.21,23.08,1.98,53.7,2.04,31.29,1.56,"SW",43.308,2.39
"81",80,64.72,4.04,61.4,3.13,32.83,2.48,64.58,2.65,31.12,2.14,"SW",50.93,2.888
"82",81,69.12,4.35,65.47,3.65,36.4,2.81,67.5,2.63,33.16,2.23,"SW",54.33,3.134
"83",82,143,6.94,143.86,5.47,47.68,4.44,108.1,5.31,63.04,3.82,"SW",101.136,5.196
"84",83,154.3,7.46,154.66,6.09,51.08,5.27,112.75,5.36,65.16,4.07,"SW",107.59,5.65
"85",84,90.49,4.7,97.02,4.11,29.97,2.53,58.83,2.67,34.32,2.75,"SW",62.126,3.352
"86",85,89.59,5.11,98.02,4.46,29.96,2.55,58.09,2.79,34.4,2.94,"SW",62.012,3.57
"87",86,89,4.8,93.9,3.96,31.97,2.77,62.66,2.73,36.49,3.23,"SW",62.804,3.498
"88",87,89.48,4.76,92.4,4.09,28.69,2.58,57.8,2.69,31.94,2.66,"SW",60.062,3.356
"89",88,80.7,5.23,85.96,4.25,32.8,2.98,70.57,2.88,39.77,2.38,"SW",61.96,3.544
"90",89,80.97,5.25,86.64,3.99,32.47,2.76,70.28,3.04,39.08,2.38,"SW",61.888,3.484
"91",90,75.94,5.25,80.66,4.26,30.94,2.85,68.23,2.97,37.38,2.47,"SW",58.63,3.56
"92",91,107.84,4.02,70.21,3.29,26.52,1.97,52.41,2.56,30.71,1.9,"SW",57.538,2.748
"93",92,69.37,4.07,67.08,3.61,28.5,2.26,53.42,2.03,31.08,1.99,"SW",49.89,2.792
"94",93,102.8,5.82,106.74,4.71,70.72,3.05,70.74,3.09,40.27,3,"SW",78.254,3.934
"95",94,100.28,5.6,109.44,4.88,37.94,2.94,72.52,3.39,40.43,2.89,"SW",72.122,3.94
"96",95,72.17,3.94,74.39,3.56,24.29,1.83,50.64,2.32,28.4,2.2,"SW",49.978,2.77
"97",96,103.14,5.92,103.65,4.78,38.8,3.41,75.54,3.47,42.89,3.12,"SW",72.804,4.14
"98",97,107.41,5.69,110.5,5.32,40.62,3.15,81.86,3.71,44.62,2.95,"SW",77.002,4.164
"99",98,68.06,3.76,69.61,3.2,25.01,2.05,51.08,2.58,27.19,2,"SW",48.19,2.718
"100",99,65.71,3.81,68.64,3.36,24.55,1.97,48.94,1.94,28.1,2.25,"SW",47.188,2.666
"101",100,67.06,3.54,67.98,3.24,24.82,1.77,51.88,1.86,30.11,1.63,"SW",48.37,2.408
"102",101,67.59,3.73,68.55,3.19,24.46,1.89,50.06,2.36,27.21,1.77,"SW",47.574,2.588
"103",102,100.27,5.75,107.95,4.86,35.5,3.03,69.54,3.21,39.83,3.28,"SW",70.618,4.026
"104",103,68.5,3.77,71.15,3.34,24.86,1.95,51.44,2.1,30.13,2.37,"SW",49.216,2.706
"105",104,68.15,3.84,72.31,3.42,24.23,1.9,50.26,2.13,29.16,2.05,"SW",48.822,2.668
"106",105,107.76,4.71,110.21,4.12,36.15,3.11,76.18,3.77,49.61,3.35,"SW",75.982,3.812
"107",106,109.7,4.65,109.87,4.04,35.16,3.25,76.8,3.56,47.27,2.98,"SW",75.76,3.696
"108",107,100.69,4.8,101.28,4.13,36.36,3.36,85.62,4.2,52.54,3.03,"SW",75.298,3.904
"109",108,100.08,5.07,100.81,4.04,37.15,3.77,87.55,3.96,52.91,2.82,"SW",75.7,3.932
"110",109,70.04,4.74,61.26,3.97,28.12,2.98,71.11,3.44,40.23,1.91,"SW",54.152,3.408
"111",110,75.95,5.42,66.16,4.16,30.71,3.1,78.94,3.56,44.82,2.22,"SW",59.316,3.692
"112",111,106.23,6.82,104.02,5.07,40.06,4.96,105.34,4.99,57.27,3.2,"SW",82.584,5.008
"113",112,105.19,7.1,96.85,5.43,37.61,4.43,102.04,4.9,54.78,2.83,"SW",79.294,4.938
"114",113,76.49,5.36,69.06,4.02,30.07,3.03,72.41,3.71,43.11,2.08,"SW",58.228,3.64
"115",114,65.66,3.79,61.06,3.35,24.95,2.44,63.76,2.72,40.19,1.89,"SW",51.124,2.838
"116",115,98.73,6.48,91.69,5.31,35.34,4.02,92.36,4.46,50.53,2.69,"SW",73.73,4.592
"117",116,157,9,192,7.02,85.6,6.44,227,6.84,175,6.77,"W",167.32,7.214
"119",118,70.01,3.71,76.9,2.88,49.42,3.08,79.56,3.35,52.74,3.02,"W",65.726,3.208
"120",119,92.93,5.28,110.94,3.87,55.11,4.16,137,4.29,96.37,3.79,"W",98.47,4.278
"121",120,118.52,6.87,134.91,5.06,78.2,5.24,132,5.38,85.28,4.74,"W",109.782,5.458
"122",121,120.26,7.01,132.42,5.4,67,5.35,130.1,5.22,87.53,5.12,"W",107.462,5.62
"123",122,67.63,4.37,60.17,3.73,53.03,4.08,92.18,4.31,54.38,4.14,"W",65.478,4.126
"124",123,57.08,4.28,46.72,3.63,53.64,4.11,89.93,4.23,58.14,4.32,"W",61.102,4.114
"125",124,48.19,3.44,43.71,3.01,50.46,3.6,94.86,3.45,55,4.57,"W",58.444,3.614
"126",125,30.99,2.09,26.14,1.82,32.83,2.09,50.67,1.98,30.8,1.95,"W",34.286,1.986
"127",126,34.17,2.21,27.8,1.97,35.82,2.32,51.77,2.06,33.13,1.93,"W",36.538,2.098
"128",127,37.64,2.2,31.58,1.87,37.69,2.37,57.06,2.19,37.19,2.2,"W",40.232,2.166
"129",128,35.11,2.51,29.18,2.54,23.2,1.81,38.09,1.84,18.33,1.57,"W",28.782,2.054
"130",129,33.37,2.69,30.06,2.51,22.86,1.84,38.3,1.87,19.13,1.54,"W",28.744,2.09
"131",130,34.8,2.44,29.12,2.38,23.16,1.6,35.5,1.51,19.07,1.47,"W",28.33,1.88
"132",131,74.89,5.63,60.54,4.67,45.38,3.3,72.16,3.53,31.94,4.36,"W",56.982,4.298
"133",132,76.71,5.82,61.54,5.2,47.87,3.53,75.24,4.21,35.11,4.47,"W",59.294,4.646
"134",133,45.25,3.5,38.72,3.33,28.6,2.03,46.36,2.39,24.03,1.99,"W",36.592,2.648
"135",134,46.4,3.39,38.6,3.32,29,2.36,49.08,2.49,26.55,2.19,"W",37.926,2.75
"136",135,45.68,3.95,38.98,3.51,29.15,2.44,45.23,2.52,24.64,2.64,"W",36.736,3.012
"137",136,45.18,3.44,38.53,3.15,28.31,2.21,46.93,2.36,25.86,2.12,"W",36.962,2.656
"138",137,50.22,4.31,36.33,3.79,25.7,2.24,46.42,2.1,25.87,1.45,"W",36.908,2.778
"139",138,44.71,3.93,32.87,2.97,20.87,1.76,40.79,1.8,23.42,1.25,"W",32.532,2.342
"140",139,84.92,7.9,63.16,5.78,46.77,3.84,82.87,4.36,37.17,3.23,"W",62.978,5.022
"141",140,88.16,8.15,66.99,6.25,46.55,3.86,83.02,3.99,36.71,3.84,"W",64.286,5.218
"142",141,82.39,4.8,92.5,3.64,47.86,4.05,140,4.26,95.39,3.43,"W",91.628,4.036
"143",142,83.48,5.06,94.46,3.57,49.26,4.04,110,3.8,82,3.45,"W",83.84,3.984
"144",143,27.94,1.93,30.25,1.66,19.55,1.52,35.21,1.38,24.47,1.16,"W",27.484,1.53
"145",144,29.4,2.05,32.56,1.9,20.92,1.46,38.96,1.45,23.98,1.2,"W",29.164,1.612
"146",145,68.92,4.48,75.44,3.97,38.49,3.02,89.16,3.53,67.75,2.84,"W",67.952,3.568
"147",146,67.37,4.34,78.5,4.05,27.53,2.53,45.73,2.53,25.57,2.25,"W",48.94,3.14
"148",147,38.79,2.61,46.6,2.64,18.64,1.54,32.09,1.37,15.8,1.28,"W",30.384,1.888
"149",148,116.72,6.08,133.82,6.32,44.55,3.6,78.04,3.99,48.78,2.72,"W",84.382,4.542
"150",149,138.48,7.54,157,6.72,62.2,5.07,116.09,5.83,72.49,3.94,"W",109.252,5.82
"151",150,111.99,6.33,125.88,5.13,45.67,3.74,84.8,3.93,52.74,3.1,"W",84.216,4.446
"152",151,82.3,4.88,95.09,4.34,37.39,3.02,75.34,3.19,50.06,2.38,"W",68.036,3.562
"153",152,108.44,6.54,120.99,5.55,47.89,4.08,90.24,4.09,60.81,3.05,"W",85.674,4.662
"154",153,138.09,8.08,155.49,7.43,63.14,5.45,125,4.66,75.17,4.11,"W",111.378,5.946
"155",154,129.5,7.52,144,6.4,60.31,4.91,113.44,5.15,70.11,3.57,"W",103.472,5.51
"156",155,100.38,5.52,113.24,5.04,44.72,4.07,82.87,3.69,54.8,3.25,"W",79.202,4.314
"157",156,127.4,6.93,142,6.25,58.44,4.68,107.48,5.2,65.68,3.87,"W",100.2,5.386
"158",157,150,8.05,170,7.36,67.6,5.98,124.92,5.76,78.41,4.33,"W",118.186,6.296
"159",158,70.93,4.27,79.28,3.86,36.88,3.21,72.1,2.83,43.8,2.58,"W",60.598,3.35
"160",159,126.74,6.5,140,5.82,58.42,4.66,105.81,5.09,64.77,3.63,"W",99.148,5.14
"162",161,73.15,4.2,81.12,3.72,33.66,2.62,70.39,2.49,43.37,2.37,"W",60.338,3.08
"163",162,84.71,5.3,94.59,4.36,36.17,3.15,69.97,3.03,33.97,2.48,"W",63.882,3.664
"164",163,91.89,4.99,99.31,4.73,40.03,2.93,73.23,2.99,35.88,2.42,"W",68.068,3.612
"165",164,85,5.07,93.17,4.21,38.33,2.57,67.32,2.73,40,2.53,"W",64.764,3.422
"166",165,87.91,5.15,97.67,4.78,38.57,2.92,70.1,2.59,34.21,2.33,"W",65.692,3.554
"167",166,63.48,4.03,77.33,3.65,26.84,2.31,48.82,2.51,22.91,1.7,"W",47.876,2.84
"168",167,80,4.7,111.96,4.87,40.17,3.34,68.89,3.25,33.69,2.7,"W",66.942,3.772
"169",168,50.96,3.32,59.14,3.18,22.68,1.74,37.49,2.06,15.91,1.71,"W",37.236,2.402
"170",169,25.1,1.68,26.11,1.73,17.86,1.33,35.85,1.2,23.44,1.05,"W",25.672,1.398
"171",170,22.39,1.53,24.16,1.29,15.82,1.15,30.31,0.99,18.1,1.01,"W",22.156,1.194
"172",171,22.89,1.55,24.62,1.59,15.71,1.14,34.27,1.06,21.02,1.04,"W",23.702,1.276
"173",172,64.75,4.27,70.13,3.91,41.82,3.23,86.5,3.81,65.24,3.41,"W",65.688,3.726
"174",173,35.97,2.81,39.56,2.5,31.17,2.16,52,2.53,32.14,2.2,"W",38.168,2.44
"175",174,71.35,4.89,80.97,12,42.48,3.21,86.6,3.56,68.49,3.03,"W",69.978,5.338
"176",175,73.44,5.16,83.64,4.06,44.95,3.38,80.76,3.76,58.83,3.05,"W",68.324,3.882
"177",176,33.2,2.11,34.31,2.25,20.36,1.57,37.95,1.42,23.67,1.26,"W",29.898,1.722
"178",177,32.31,2.16,32.74,1.98,19.05,1.4,33.37,1.14,21.2,1,"W",27.734,1.536
"179",178,28.51,1.8,29.35,1.78,17.6,1.21,36.04,1.14,20.81,0.83,"W",26.462,1.352
"180",179,34.12,1.9,35.57,1.93,21.22,1.39,46.24,1.27,31.39,1.05,"W",33.708,1.508
"181",180,87.01,5.18,94.34,4.45,35.73,2.8,67.12,2.93,43.43,2.34,"W",65.526,3.54
"182",181,43.97,4.64,51.07,3.8,38.76,3.18,55.67,2.88,30.41,2.83,"T",43.976,3.466
"183",182,44.58,5.76,52.76,4.84,40.47,3.76,56.42,3.31,31.32,3.34,"T",45.11,4.202
"184",183,20.25,2.35,25.14,1.76,20.17,1.37,27.67,1.41,15.68,1.55,"T",21.782,1.688
"185",184,48.7,5.46,57.39,3.73,42.56,3.07,52.42,2.85,27.23,3.03,"T",45.66,3.628
"186",185,35.74,3.91,39.2,2.93,33.01,2.65,42.8,2.18,24.85,2.34,"T",35.12,2.802
"187",186,37.69,4.18,43.3,3.38,35,2.87,49.15,2.37,26.33,2.51,"T",38.294,3.062
"188",187,31.26,3.6,35.24,2.91,28.62,2.42,39.04,2.32,21.88,2.27,"T",31.208,2.704
"189",188,30.97,3.65,36.47,2.96,28.03,2.21,37.41,1.99,21.11,2.25,"T",30.798,2.612
"190",189,30.31,3.36,34.83,2.49,26.36,2.17,34.16,1.88,18.72,2.03,"T",28.876,2.386
"191",190,32.02,2.99,27.7,2.38,38.27,2.64,53.33,2.71,31,2.45,"T",36.464,2.634
"192",191,32.34,3.17,29.05,2.36,39.64,2.7,55.36,2.51,37.08,2.22,"T",38.694,2.592
"193",192,30.88,3.32,26.93,2.41,38.19,2.82,53.59,2.62,30.02,2.39,"T",35.922,2.712
"194",193,32.11,3.47,28.48,2.62,39.55,3.31,56.16,3,31.74,2.49,"T",37.608,2.978
"195",194,32.61,2.98,28.37,2.49,37.47,2.61,48.92,2.39,28.46,2.34,"T",35.166,2.562
"196",195,34.63,3.1,26.87,2.35,40.87,3.05,53.98,2.79,31.59,2.63,"T",37.588,2.784
"197",196,32.28,3.34,28.79,2.45,38.46,2.82,52.93,2.5,30.97,2.48,"T",36.686,2.718
"198",197,92.82,9.6,100.58,7.57,82.94,7.47,118.24,6.61,69.16,5.66,"T",92.748,7.382
"199",198,55.62,4.79,52.09,4.26,64.8,5.74,86.17,4.76,49.37,4.25,"T",61.61,4.76
"200",199,32.68,3.26,29.02,2.36,39.38,2.72,56.45,2.5,32.56,2.49,"T",38.018,2.666
"201",200,34.24,3.39,30.65,2.63,40.41,2.92,53.77,2.72,32.24,2.67,"T",38.262,2.866
"202",201,118.75,11.9,104.68,4.77,108.85,10.29,183,9.69,134,7.96,"T",129.856,8.922
"203",202,127,13.79,123.27,9.42,117.07,11.64,189,10.03,128.5,8.19,"T",136.968,10.614
"204",203,39.64,4.07,37.32,2.98,45.5,3.42,64.45,3.37,37.77,2.86,"T",44.936,3.34
"206",205,57.48,4.74,69.06,4.08,57.56,4.8,80.16,4.25,60.54,3.78,"R",64.96,4.33
"207",206,62.49,4.75,69.66,3.99,57.3,4.6,77.6,4.26,60.31,3.86,"R",65.472,4.292
"209",208,54.47,4.37,63.29,3.32,47.83,3.45,64.25,3.15,54.97,2.86,"R",56.962,3.43
"210",209,57.56,4.33,67.15,3.54,55.19,4.21,75.03,3.71,59.33,3.29,"R",62.852,3.816
"211",210,52.88,4.47,62.02,3.76,47.09,3.64,63.42,3.4,54.54,2.9,"R",55.99,3.634
"212",211,110.87,8.26,129.05,6.78,80.8,7.98,112.36,7.18,84.69,7.11,"R",103.554,7.462
"213",212,117.37,9.25,136.52,7,87.49,8.92,119.17,7.89,86.61,7.36,"R",109.432,8.084
"214",213,102.35,7.01,118.67,5.72,78.75,6.89,104.01,6.12,80.1,6.1,"R",96.776,6.368
